Au,CdTe,M_i_Cd_site,-0.745,0,3,6,11,0.25,4,3,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3,3.287,3.272,2.552,1.525,1.695
Ga,CdTe,M_i_Te_site,1.301,0,1,4,13,0.75,3,4,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3.939,3.924,1.993,2.379,2.951
Sb,CdTe,M_i_Te_site,1.723,0,-1,5,15,0.75,3,4,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,4.048,4.032,5.235,5.946,6.658
Na,CdTe,M_Te,0.347,-2,1,3,1,1,4,0,0.05,-104.61023,0.18,-373.4,0.3,-137.45,-1.17,-41,-5,3.083,3.068,2.788,3.499,4.357
Cd,CdSe,M_i_old,2.027,0,0,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2,3.053,3.038,2.915,3.554,4.193
Li,CdTe,M_i_old,-0.7,0,3,2,1,0.5,3,3,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,3.81,3.795,1.686,1.692,1.93
In,CdTe,M_i_Cd_site,-0.257,0,2,5,13,0.25,4,3,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,3.941,3.926,2.555,2.174,2.845
S,CdTe,M_Te,2.272,-2,-4,3,16,1,4,0,-0.68,-95.534,-0.34,130.38,-0.33,10.27,0.48,-36,0,1.437,2.322,0.539,0.54,0.54
Sc,CdTe,M_i_Cd_site,0.994,0,2,4,3,0.25,4,3,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,3.903,3.888,3.577,4.288,5
In,CdTe,M_Cd,-0.805,2,5,5,13,0,0,4,-0.15,2.41,0.03,-309.4,0.171,29,0.09,1,1,3.342,3.327,1.577,0.723,0.92
As,CdS,M_i_old,1.723,0,1,4,15,0.5,3,3,0.58,74.9216,1.2,947,1.39,77,2.16,33,5,3.681,3.666,4.842,4.318,4.625
V,CdTe,M_Te,-0.162,-2,0,4,5,1,4,0,-0.43,-76.6585,-0.14,-219.2,-0.279,-140.15,-0.47,-29,-1,2.561,2.546,4.121,5.073,6.412
Be,CdTe,M_Cd,1.398,2,2,2,2,0,0,4,-0.5,-103.39782,-0.51,31.7,-0.369,-240,-0.12,-44,0,1.533,2.718,0.889,0.77,0.651
Ti,CdTe,M_i_Cd_site,0.488,0,2,4,4,0.25,4,3,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3.762,3.747,3.283,4.009,4.959
Ti,CdTe,M_i_Te_site,1.353,0,1,4,4,0.75,3,4,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3.855,3.84,3.495,4.221,5.171
F,CdTe,M_Te,-0.549,-2,0,2,17,1,4,0,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5,2.602,2.587,1.743,1.981,2.218
F,CdTe,M_Te,-0.848,-2,1,2,17,1,4,0,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5,2.602,2.587,1.743,1.981,2.218
Rh,CdTe,M_Te,-0.26,-2,-1,5,9,1,4,0,-0.3,-24.6945,-0.11,-149.2,-0.255,-70.15,0.18,-7,0,1.673,1.658,4.069,5.012,6.436
W,CdTe,M_Te,-0.785,-2,1,6,6,1,4,0,-0.37,56.25,-0.06,-99.2,-0.23,-130.15,0.26,22,0,2.111,2.096,7.727,8.201,8.676
C,CdTe,M_i_Te_site,1.058,0,1,2,14,0.75,3,4,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3.426,3.411,6.847,6.847,6.847
La,CdTe,M_i_Cd_site,1.122,0,2,6,3,0.25,4,3,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3,4.156,4.141,3.743,4.454,5.449
Mn,CdTe,M_Cd,-0.214,2,3,4,7,0,0,4,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5,1.931,2.786,0.194,0.194,0.383
Nb,CdTe,M_i_old,1.028,0,2,5,5,0.5,3,3,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3.724,3.709,4.625,4.954,6.164
Rb,CdS,M_i_S_site,2.378,0,0,5,1,0.75,3,4,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,4.081,4.066,4.889,5.215,6.138
Bi,CdSe,M_i_Cd_site,2.655,0,-2,6,15,0.25,4,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,3.272,3.257,3.599,3.599,4.557
S,CdTe,M_Cd,1.081,2,1,3,16,0,0,4,-0.66,-80.344,-0.39,131.88,-0.219,200.42,0.89,-32,4,2.557,2.542,4.544,3.596,2.648
Zr,CdTe,M_Cd,2.093,2,1,5,4,0,0,4,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2,3.362,3.347,2.148,2.358,3.222
Rh,CdS,M_i_S_site,-0.419,0,3,5,9,0.75,3,4,0.67,102.9055,1.25,720,1.345,120,2.28,45,6,2.642,2.627,3.329,4.195,5.109
Ga,CdTe,M_Te,1.543,-2,-4,4,13,1,4,0,-0.35,-57.877,-0.1,-290.4,-0.19,-161.15,-0.29,-21,-3,2.425,2.41,1.744,2.604,3.651
Se,CdTe,M_Te,1.917,-2,-3,4,16,1,4,0,-0.47,-48.64,-0.2,71.7,-0.2,4.81,0.45,-18,0,1.538,2.498,0.286,0.287,0.287
Re,CdTe,M_Cd,-0.368,2,5,6,7,0,0,4,-0.42,73.797,-0.13,-107.7,-0.119,14,0.21,27,5,2.859,2.844,4.349,3.875,3.401
Cs,CdTe,M_i_old,1.864,0,0,6,1,0.5,3,3,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1,4.29,4.275,5.231,5.468,6.163
Na,CdTe,M_i_Te_site,1.762,0,0,3,1,0.75,3,4,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1,3.812,3.797,1.399,1.636,2.02
Pb,CdTe,M_Te,2.128,-2,-4,6,14,1,4,0,0.22,79.6,0.11,-153.7,0.15,-80.15,0.23,30,-2,2.492,2.477,1.656,2.604,3.553
V,CdTe,M_i_old,1.683,0,0,4,5,0.5,3,3,0.54,50.9415,1.22,650,1.321,50,1.63,23,5,3.648,3.633,3.031,3.509,4.374
Pb,CdTe,M_i_Cd_site,1.827,0,0,6,14,0.25,4,3,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4,3.99,3.975,2.37,2.844,3.319
As,CdS,M_i_old,0.665,0,2,4,15,0.5,3,3,0.58,74.9216,1.2,947,1.39,77,2.16,33,5,3.681,3.666,4.842,4.318,4.625
Ga,CdTe,M_i_old,1.324,0,1,4,13,0.5,3,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3.659,3.644,2.429,2.814,3.387
O,CdTe,M_i_old,0.459,0,-1,2,16,0.5,3,3,1.4,15.9994,0.73,1313.9,0.73,141.1,3.44,8,2,2.354,2.339,3.788,3.314,3.092
Sb,CdTe,M_i_Cd_site,0.449,0,3,5,15,0.25,4,3,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,3.854,3.839,3.996,4.707,5.42
Tl,CdTe,M_i_Te_site,2.267,0,-1,6,13,0.75,3,4,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3,4.033,4.018,2.668,2.872,3.143
Se,CdSe,M_Cd,-0.727,2,5,4,16,0,0,4,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,14,4,1.731,1.716,4.56,3.276,1.992
Cl,CdTe,M_Cd,2.03,2,0,3,17,0,0,4,0.86,-76.9573,-0.42,383.4,-0.499,348.8,1.47,-31,5,2.269,2.254,4.453,3.742,3.031
Cr,CdTe,M_i_Te_site,-0.477,0,3,4,6,0.75,3,4,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3.74,3.725,1.993,2.632,3.398
Os,CdTe,M_i_old,-0.119,0,3,6,8,0.5,3,3,0.63,190.2,1.26,840,1.34,110,2.2,76,8,3.333,3.318,5.313,5.313,5.313
Cl,CdSe,M_i_Se_site,0.382,0,0,3,17,0.75,3,4,1.81,35.4527,0.99,1251.1,0.99,348.8,3.16,17,7,0.889,0.874,3.882,3.563,3.237
Sr,CdSe,M_i_Se_site,2.411,0,0,5,2,0.75,3,4,1.26,87.62,1.91,549.5,2.15,168,0.95,38,2,3.221,3.206,4.931,5.576,6.221
Se,CdTe,M_i_old,1.048,0,0,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6,2.914,2.899,3.79,3.316,2.842
As,CdTe,M_Cd,1.991,2,1,4,15,0,0,4,-0.37,-37.4884,-0.21,79.3,-0.099,77,0.47,-15,3,3.131,3.116,2.95,1.953,1.502
Cr,CdTe,M_Cd,1.833,2,1,4,6,0,0,4,-0.33,-60.414,-0.23,-214.9,-0.24,64,-0.03,-24,4,2.21,2.195,0.893,1.058,1.35
Mo,CdTe,M_i_Cd_site,1.675,0,1,5,6,0.25,4,3,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,3.651,3.636,4.703,4.703,5.455
I,CdTe,M_Cd,2.379,2,0,5,17,0,0,4,1.25,14.4945,-0.08,140.7,-0.159,295.3,0.97,5,5,2.858,2.843,4.384,3.673,2.962
Sr,CdTe,M_i_Cd_site,2.53,0,-2,5,2,0.25,4,3,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2,4.24,4.375,3.554,4.028,4.503
Ir,CdS,M_i_S_site,0.78,0,2,6,9,0.75,3,4,0.63,192.22,1.27,880,1.357,150,2.2,77,3,2.793,2.778,4.542,4.542,5.177
Sb,CdTe,M_i_Cd_site,2.091,0,-2,5,15,0.25,4,3,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,3.854,3.839,3.996,4.707,5.42
Hg,CdTe,M_Te,0.825,-2,0,6,12,1,4,0,0.05,72.99,0.13,137.8,0,-190.15,-0.1,28,-4,3.141,3.126,1.716,1.874,2.642
Bi,CdTe,M_i_Cd_site,0.542,0,3,6,15,0.25,4,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,4.147,4.132,2.666,2.666,3.263
B,CdTe,M_Cd,2.241,2,0,2,13,0,0,4,-0.72,-101.599,-0.59,-67.1,-0.509,27,0.35,-43,1,3.315,3.3,3.794,3.32,2.846
Cu,CdTe,M_i_Cd_site,-0.441,0,2,4,11,0.25,4,3,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2,3.381,3.366,2.638,2.077,2.357
Pt,CdTe,M_i_Cd_site,0.162,0,1,6,10,0.25,4,3,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,2.81,2.795,2.629,2.155,2.991
Ir,CdTe,M_Cd,1.945,2,0,6,9,0,0,4,-0.32,79.81,-0.14,12.3,-0.132,150,0.51,29,1,2.73,2.715,2.803,2.329,2.186
Os,CdTe,M_Te,-0.235,-2,-1,6,8,1,4,0,-0.34,62.6,-0.1,-29.2,-0.26,-80.15,0.1,24,2,1.728,2.223,5.722,6.196,6.67
Re,CdTe,M_i_old,-0.223,0,3,6,7,0.5,3,3,0.53,186.207,1.28,760,1.37,14,1.9,75,7,3.442,3.427,5.974,5.974,5.974
Pb,CdTe,M_i_Te_site,1.936,0,0,6,14,0.75,3,4,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4,4.034,4.019,3.268,3.742,4.217
Ir,CdTe,M_i_old,-0.019,0,2,6,9,0.5,3,3,0.63,192.22,1.27,880,1.357,150,2.2,77,3,3.006,2.991,3.397,3.397,3.729
F,CdTe,M_i_old,-0.833,0,3,2,17,0.5,3,3,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1,1.551,1.536,2.085,1.848,1.611
Y,CdTe,M_i_Te_site,2.091,0,0,5,3,0.75,3,4,1.02,88.9059,1.62,616,1.81,0,1.22,39,3,4.133,4.118,3.919,4.666,5.857
Ga,CdTe,M_i_old,2.537,0,-2,4,13,0.5,3,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3.659,3.644,2.429,2.814,3.387
C,CdTe,M_Te,-0.033,-2,-2,2,14,1,4,0,-0.81,-115.589,-0.59,217.2,-0.69,-67.85,0.45,-46,-2,1.173,1.158,5.564,6.039,6.513
Ti,CdS,M_i_S_site,3.094,0,-1,4,4,0.75,3,4,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3.815,3.8,4.958,5.863,7.192
B,CdTe,M_i_old,1.581,0,0,2,13,0.5,3,3,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3,3.448,3.433,5.034,5.034,5.034
Pt,CdTe,M_i_old,1.531,0,0,6,10,0.5,3,3,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,2.781,2.766,2.238,1.764,2.6
Ir,CdTe,M_Te,-0.801,-2,1,6,9,1,4,0,-0.34,64.62,-0.09,10.8,-0.243,-40.15,0.1,25,-3,1.653,1.638,3.935,4.409,5.215
Se,CdTe,M_Cd,-0.748,2,5,4,16,0,0,4,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4,2.761,2.746,4.114,3.166,2.218
Ge,CdTe,M_Te,2.049,-2,-4,4,14,1,4,0,-0.44,-54.99,-0.14,-107.1,-0.23,-70.15,-0.09,-20,-2,1.932,1.917,1.749,2.223,3.012
Sc,CdTe,M_i_Cd_site,1.787,0,0,4,3,0.25,4,3,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,3.903,3.888,3.577,4.288,5
As,CdTe,M_Cd,2.362,2,0,4,15,0,0,4,-0.37,-37.4884,-0.21,79.3,-0.099,77,0.47,-15,3,3.131,3.116,2.95,1.953,1.502
Ag,CdSe,M_i_old,2.965,0,-2,5,11,0.5,3,3,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2,2.916,2.901,2.497,2.068,2.248
Zn,CdS,M_S,2.814,-2,-4,4,12,1,4,0,0.45,33.324,0.23,-93.18,0.062,-200.42,-0.93,14,-4,2.738,2.723,2.65,3.959,5.267
Ag,CdTe,M_i_Cd_site,2.089,0,-1,5,11,0.25,4,3,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2,3.674,3.659,1.872,1.497,1.621
Co,CdSe,M_i_old,-0.321,0,2,4,9,0.5,3,3,0.65,58.9332,1.16,758,1.253,70,1.88,27,3,2.796,2.781,4.443,5.088,6.056
I,CdS,M_S,3.177,-2,-3,5,17,1,4,0,1.91,94.8385,0.31,8.82,0.06,94.88,0.08,37,1,4.141,4.126,1.744,2.079,2.414
Nb,CdTe,M_i_Cd_site,-0.385,0,3,5,5,0.25,4,3,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3.801,3.786,4.139,4.468,5.678
Te,CdTe,M_i_old,0.604,0,2,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,3.912,3.897,4.232,3.757,3.283
Y,CdTe,M_Te,0.708,-2,-1,5,3,1,4,0,0.05,-38.6941,0.26,-253.2,0.21,-190.15,-0.88,-13,-3,3.134,3.119,5.041,6.263,7.928
