Sc,CdTe,M_Cd,2,5,4,3,0,0,4,-0.2,-67.4541,0.03,-236.7,0.117,18.1,-0.33,-27,1,3.348,3.333,1.464,1.701,1.939
Ti,CdTe,M_Cd,2,5,4,4,0,0,4,-0.34,-64.53,-0.09,-209.7,-0.041,20,-0.15,-26,2,2.94,2.925,1.35,1.602,2.078
V,CdTe,M_Cd,2,5,4,5,0,0,4,-0.41,-61.4685,-0.19,-217.7,-0.168,50,-0.06,-25,3,2.722,2.707,1.33,1.333,1.725
Cr,CdTe,M_Cd,2,5,4,6,0,0,4,-0.33,-60.414,-0.23,-214.9,-0.24,64,-0.03,-24,4,2.21,2.195,0.893,1.058,1.35
Mn,CdTe,M_Cd,2,5,4,7,0,0,4,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5,1.931,2.786,0.194,0.194,0.383
Fe,CdTe,M_Cd,2,5,4,8,0,0,4,-0.4,-56.563,-0.24,-108.4,-0.248,24,0.14,-22,4,2.211,2.196,1.076,1.076,1.509
Co,CdTe,M_Cd,2,5,4,9,0,0,4,-0.3,-53.4768,-0.25,-109.7,-0.236,70,0.19,-21,1,1.542,1.527,4.001,4.008,4.484
Ni,CdTe,M_Cd,2,5,4,10,0,0,4,-0.26,-53.7166,-0.26,-131,-0.243,111,0.22,-20,1,1.879,1.864,2.355,1.624,1.84
Cu,CdTe,M_Cd,2,5,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,1.542,1.527,2.231,1.196,1.002
Zn,CdTe,M_Cd,2,5,4,12,0,0,4,-0.21,-47.02,-0.16,38.7,-0.157,0,-0.04,-18,0,1.668,2.733,0.3,0.3,0.301
Y,CdTe,M_Cd,2,5,5,3,0,0,4,0.07,-23.5041,0.21,-251.7,0.321,0,-0.47,-9,1,3.654,3.639,1.365,1.639,2.355
Zr,CdTe,M_Cd,2,5,5,4,0,0,4,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2,3.362,3.347,2.148,2.358,3.222
Nb,CdTe,M_Cd,2,5,5,5,0,0,4,-0.31,-19.5036,-0.07,-203.7,-0.06,96,-0.09,-7,3,3.085,3.07,2.486,2.341,3.077
Mo,CdTe,M_Cd,2,5,5,6,0,0,4,-0.36,-16.47,-0.11,-182.8,-0.127,96,0.47,-6,4,2.87,2.854,3.382,2.908,3.187
Tc,CdTe,M_Cd,2,5,5,7,0,0,4,-0.39,-14.41,-0.14,-165.7,-0.131,70,0.21,-5,5,2.5,2.485,3.356,2.882,2.408
Ru,CdTe,M_Cd,2,5,5,8,0,0,4,-0.33,-11.34,-0.16,-156.7,-0.164,110,0.51,-4,6,2.614,2.599,2.877,2.462,2.938
Rh,CdTe,M_Cd,2,5,5,9,0,0,4,-0.28,-9.5045,-0.16,-147.7,-0.144,120,0.59,-3,4,2.403,2.388,2.848,2.843,3.319
Pd,CdTe,M_Cd,2,5,5,10,0,0,4,-0.31,-5.99,-0.13,-62.7,-0.114,60,0.51,-2,2,1.962,1.947,2.528,1.58,1.571
Ag,CdTe,M_Cd,2,5,5,11,0,0,4,0.2,-4.542,-0.07,-136.7,-0.045,125.7,0.24,-1,0,1.535,1.52,1.752,0.904,0.554
Cd,CdTe,M_Cd,2,5,5,12,0,0,4,0,0,0,0,0,0,0,0,0,1.821,2.992,0,0,0
La,CdTe,M_Cd,2,5,6,3,0,0,4,0.21,26.4955,-0.16,-329.6,0.388,50,-0.59,9,1,3.63,3.615,2.242,2.479,3
Hf,CdTe,M_Cd,2,5,6,4,0,0,4,-0.12,66.08,0.03,-225.7,0.075,0,-0.39,24,2,3.456,3.441,1.556,1.082,0.608
Ta,CdTe,M_Cd,2,5,6,5,0,0,4,-0.31,68.5379,-0.07,-106.7,-0.059,60,-0.19,25,3,3.204,3.189,3.24,2.766,2.292
W,CdTe,M_Cd,2,5,6,6,0,0,4,-0.35,71.44,-0.11,-97.7,-0.119,60,0.67,26,4,3.111,3.096,4.428,3.954,3.48
Re,CdTe,M_Cd,2,5,6,7,0,0,4,-0.42,73.797,-0.13,-107.7,-0.119,14,0.21,27,5,2.859,2.844,4.349,3.875,3.401
Os,CdTe,M_Cd,2,5,6,8,0,0,4,-0.32,77.79,-0.15,-27.7,-0.149,110,0.51,28,6,2.947,2.932,3.916,3.442,2.968
Ir,CdTe,M_Cd,2,5,6,9,0,0,4,-0.32,79.81,-0.14,12.3,-0.132,150,0.51,29,1,2.73,2.715,2.803,2.329,2.186
