Sc,CdTe,M_i_Cd_site,3.479,4.190,4.902,0.028,0.009,0.013,0.040,0.030,0.029,0.015,0.043,0.031,0.043,0.004,0.026,0.017,0.025,0.042,0.041,0.029,0.032,0.033
Ca,CdSe,M_Se,5.655,6.945,8.235,0.028,0.006,0.052,0.040,0.000,0.019,-0.013,0.017,-0.017,0.015,0.080,0.030,0.011,0.033,0.028,0.027,0.046,0.053,0.055
Si,CdTe,M_i_Cd_site,3.784,3.784,3.784,0.021,0.041,0.013,0.040,0.030,0.010,0.009,0.033,0.038,0.035,0.030,0.037,0.011,0.033,0.035,0.034,0.022,0.021,0.019
C,CdTe,M_i_Cd_site,6.861,6.861,6.861,0.014,0.041,0.013,0.040,0.030,0.006,0.004,0.023,0.053,0.024,0.028,0.050,0.005,0.033,0.029,0.029,0.052,0.049,0.044
Os,CdSe,M_i_Se_site,6.087,6.087,6.087,0.042,0.024,0.039,0.030,0.040,0.024,0.064,0.038,0.041,0.036,0.025,0.043,0.062,0.066,0.026,0.025,0.048,0.045,0.040
Ni,CdTe,M_Te,3.228,3.445,4.610,0.028,0.029,0.052,0.040,0.000,-0.011,-0.023,-0.006,-0.006,-0.009,-0.018,-0.004,-0.020,-0.025,0.019,0.024,0.026,0.027,0.031
Be,CdS,M_i_Cd_site,4.384,5.033,5.709,0.014,0.006,0.013,0.040,0.030,0.017,0.003,0.027,0.044,0.030,-0.055,0.031,0.003,0.016,0.034,0.034,0.034,0.037,0.037
Ca,CdS,M_Cd,0.715,0.712,0.708,0.028,0.006,0.000,0.000,0.040,0.002,-0.024,0.010,-0.013,0.013,-0.036,-0.013,-0.023,0.000,0.005,0.024,0.006,0.006,0.005
Mn,CdS,M_i_Cd_site,3.127,3.776,4.834,0.028,0.021,0.013,0.040,0.030,0.026,0.018,0.035,0.035,0.033,0.000,0.030,0.020,0.057,0.042,0.041,0.030,0.033,0.036
Te,CdSe,M_i_Se_site,5.163,4.525,4.042,0.035,0.047,0.039,0.030,0.040,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.028,0.028,0.046,0.039,0.031
Cd,CdS,M_i_S_site,2.344,2.997,3.649,0.035,0.035,0.039,0.030,0.040,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.038,0.038,0.025,0.028,0.029
Re,CdSe,M_Se,6.982,7.627,8.272,0.042,0.021,0.052,0.040,0.000,0.001,0.036,0.004,-0.009,-0.001,0.041,0.013,0.034,0.008,0.016,0.016,0.054,0.056,0.054
Br,CdSe,M_Se,0.503,0.829,1.148,0.028,0.050,0.052,0.040,0.000,0.057,0.000,-0.001,0.010,-0.007,0.030,0.008,0.001,0.008,0.030,0.029,0.009,0.011,0.012
Cu,CdSe,M_Se,3.200,3.224,4.324,0.028,0.032,0.052,0.040,0.000,0.009,-0.005,0.000,-0.009,-0.003,0.017,0.013,0.004,0.033,0.017,0.016,0.024,0.022,0.027
Hg,CdSe,M_i_Se_site,2.433,2.155,2.477,0.042,0.035,0.039,0.030,0.040,0.040,0.067,0.045,0.049,0.043,0.000,0.039,0.065,0.016,0.024,0.024,0.024,0.020,0.020
Ba,CdSe,M_i_old,4.276,4.921,5.623,0.042,0.006,0.026,0.030,0.030,0.055,0.046,0.059,0.024,0.059,0.012,0.017,0.046,0.016,0.041,0.040,0.054,0.056,0.054
C,CdSe,M_Cd,6.232,5.594,4.955,0.014,0.041,0.000,0.000,0.040,-0.031,-0.034,-0.019,0.011,-0.015,0.028,0.017,0.034,0.016,0.010,0.014,0.052,0.044,0.034
Ag,CdS,M_S,2.566,2.793,3.618,0.035,0.032,0.052,0.040,0.000,0.033,0.025,0.010,-0.013,0.005,-0.017,-0.013,0.025,-0.033,0.030,0.029,0.020,0.021,0.024
Mo,CdSe,M_i_old,4.680,5.310,6.600,0.035,0.018,0.026,0.030,0.030,0.023,0.032,0.039,0.033,0.036,0.022,0.042,0.034,0.049,0.030,0.029,0.042,0.044,0.047
Pd,CdS,M_i_old,2.330,1.681,2.020,0.035,0.029,0.026,0.030,0.030,0.025,0.036,0.038,0.039,0.037,0.014,0.043,0.038,0.033,0.023,0.023,0.019,0.013,0.014
Li,CdTe,M_i_Te_site,1.145,1.151,1.389,0.014,0.003,0.039,0.030,0.040,0.029,0.002,0.037,0.025,0.041,0.014,0.019,0.002,0.008,0.040,0.040,0.012,0.011,0.011
N,CdTe,M_Te,2.086,2.481,2.877,0.014,0.044,0.052,0.040,0.000,0.029,-0.038,-0.018,0.026,-0.018,-0.045,0.018,-0.037,-0.008,0.013,0.013,0.023,0.024,0.024
Pb,CdTe,M_Cd,0.848,0.848,0.849,0.042,0.041,0.000,0.000,0.040,0.009,0.032,0.002,-0.007,0.007,0.025,0.012,0.028,0.016,0.029,0.036,0.008,0.007,0.007
Pd,CdSe,M_Cd,3.238,1.962,1.760,0.035,0.029,0.000,0.000,0.040,-0.012,-0.002,-0.004,-0.003,-0.003,0.014,0.010,0.002,0.016,0.010,0.010,0.024,0.013,0.010
Zr,CdTe,M_i_old,4.134,4.818,6.155,0.035,0.012,0.026,0.030,0.030,0.033,0.030,0.043,0.032,0.043,0.011,0.026,0.033,0.033,0.040,0.040,0.037,0.040,0.044
O,CdTe,M_Cd,5.596,4.648,3.952,0.014,0.047,0.000,0.000,0.040,0.017,-0.032,-0.020,0.022,-0.020,0.032,0.034,-0.033,0.000,0.021,0.022,0.043,0.034,0.025
Co,CdSe,M_i_old,4.038,4.683,5.651,0.028,0.026,0.026,0.030,0.030,0.025,0.020,0.035,0.037,0.033,0.016,0.037,0.022,0.025,0.030,0.029,0.035,0.038,0.040
As,CdSe,M_Cd,3.100,1.939,1.565,0.028,0.044,0.000,0.000,0.040,-0.014,-0.013,-0.006,0.004,-0.003,0.018,0.009,0.012,0.025,0.029,0.029,0.026,0.016,0.011
Ta,CdSe,M_Cd,2.471,1.833,1.329,0.042,0.015,0.000,0.000,0.040,-0.012,0.023,-0.002,-0.005,-0.002,0.014,0.004,0.020,0.025,0.028,0.027,0.021,0.015,0.010
Os,CdSe,M_i_Cd_site,6.214,6.214,6.214,0.042,0.024,0.013,0.040,0.030,0.024,0.064,0.038,0.041,0.036,0.025,0.043,0.062,0.066,0.023,0.022,0.047,0.044,0.039
Ba,CdSe,M_i_Se_site,3.835,4.480,5.181,0.042,0.006,0.039,0.030,0.040,0.055,0.046,0.059,0.024,0.059,0.012,0.017,0.046,0.016,0.043,0.043,0.049,0.051,0.050
N,CdSe,M_i_Cd_site,4.510,4.404,4.295,0.014,0.044,0.013,0.040,0.030,0.066,0.005,0.022,0.068,0.025,0.002,0.059,0.006,0.041,0.006,0.007,0.038,0.035,0.030
Au,CdS,M_i_S_site,3.494,2.404,2.492,0.042,0.032,0.039,0.030,0.040,0.033,0.066,0.040,0.043,0.038,0.051,0.049,0.065,0.025,0.034,0.034,0.030,0.020,0.018
Se,CdSe,M_i_Cd_site,4.290,3.644,2.999,0.028,0.047,0.013,0.040,0.030,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.030,0.029,0.029,0.023,0.016
Y,CdSe,M_i_Se_site,3.601,4.569,5.536,0.035,0.009,0.039,0.030,0.040,0.040,0.030,0.049,0.030,0.048,0.000,0.024,0.032,0.025,0.036,0.035,0.041,0.046,0.047
Te,CdSe,M_i_Cd_site,4.889,4.251,3.768,0.035,0.047,0.013,0.040,0.030,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.035,0.034,0.037,0.030,0.023
